# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	15932	MLN	1	7.404650e-16	1.390371e-11	1.390371e-11	1.740287e+1	9.768502e-1	17	1.194632e-4	2.079002e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_CoelEpi_preGran_Endo_Missing_Supp_MesGATA2_MesLHX9_Neuro_Epi_PV_Germ_SMC,ovary_CoelEpi_preGran_Supp_MesLHX9_MesGATA2_Missing_Endo_PV_Neuro_Epi_Germ,ovary_MesGATA2_CoelEpi_MesLHX9_preGran_Supp_Endo_Missing_Neuro_Germ_Epi,ovary_MesGATA2_CoelEpi_Supp_preGran_MesLHX9_PV_Missing_Neuro_Immune_Epi_SMC_Endo_Germ,ovary_MesGATA2_Missing_preGran_CoelEpi_MesLHX9_Supp_PV_Endo_Neuro_Immune_Epi_SMC,ovary_MesLHX9_MesGATA2_Supp_Missing_preGran_CoelEpi_Neuro_Endo_PV_Epi_SMC,ovary_MesLHX9_Supp_preGran_CoelEpi_MesGATA2_Endo_Missing_Epi_Neuro,ovary_MesLHX9_Supp_preGran_MesGATA2_PV_Missing_Endo_CoelEpi_Epi_Neuro_Immune,ovary_MesLHX9_preGran_CoelEpi_MesGATA2_Supp_Missing_Endo_Neuro_Germ_Epi_PV,ovary_MesLHX9_preGran_CoelEpi_Supp_MesGATA2_PV_Missing_Endo_Neuro_Germ_Epi_Immune,ovary_MesLHX9_preGran_Supp_CoelEpi_Missing_MesGATA2_Neuro_PV_Epi,ovary_Missing_MesLHX9_MesGATA2_Supp_PV_CoelEpi_preGran_Neuro_Epi_Endo_Germ_SMC,ovary_Supp_Missing_MesGATA2_CoelEpi_MesLHX9_preGran_PV_Neuro_Germ_Epi_Immune,ovary_preGran_CoelEpi_MesGATA2_MesLHX9_Supp_Missing_Neuro_Endo_PV_Epi_Germ_Immune,ovary_preGran_CoelEpi_Missing_MesLHX9_Supp_MesGATA2_Endo_Neuro_Immune_Epi,ovary_preGran_MesGATA2_Supp_MesLHX9_CoelEpi_Missing_Endo_Epi_PV_Neuro,ovary_preGran_Supp_Endo_MesGATA2_MesLHX9_CoelEpi_Missing_PV_Neuro_Germ_Epi	MLN
Ensembl Genes	15933	GRM4	2	1.459301e-14	2.740129e-10	1.370065e-10	1.444312e+1	1.177031e+0	17	1.439441e-4	2.079002e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_CoelEpi_preGran_Endo_Missing_Supp_MesGATA2_MesLHX9_Neuro_Epi_PV_Germ_SMC,ovary_CoelEpi_preGran_Supp_MesLHX9_MesGATA2_Missing_Endo_PV_Neuro_Epi_Germ,ovary_MesGATA2_CoelEpi_MesLHX9_preGran_Supp_Endo_Missing_Neuro_Germ_Epi,ovary_MesGATA2_CoelEpi_Supp_preGran_MesLHX9_PV_Missing_Neuro_Immune_Epi_SMC_Endo_Germ,ovary_MesGATA2_Missing_preGran_CoelEpi_MesLHX9_Supp_PV_Endo_Neuro_Immune_Epi_SMC,ovary_MesLHX9_MesGATA2_Supp_Missing_preGran_CoelEpi_Neuro_Endo_PV_Epi_SMC,ovary_MesLHX9_Supp_MesGATA2_preGran_Missing_CoelEpi_PV_Neuro_Germ_Epi_Endo,ovary_MesLHX9_Supp_preGran_CoelEpi_MesGATA2_Endo_Missing_Epi_Neuro,ovary_MesLHX9_Supp_preGran_MesGATA2_PV_Missing_Endo_CoelEpi_Epi_Neuro_Immune,ovary_MesLHX9_preGran_CoelEpi_MesGATA2_Supp_Missing_Endo_Neuro_Germ_Epi_PV,ovary_MesLHX9_preGran_CoelEpi_Supp_MesGATA2_PV_Missing_Endo_Neuro_Germ_Epi_Immune,ovary_MesLHX9_preGran_Supp_CoelEpi_Missing_MesGATA2_Neuro_PV_Epi,ovary_Missing_MesLHX9_MesGATA2_Supp_PV_CoelEpi_preGran_Neuro_Epi_Endo_Germ_SMC,ovary_Supp_Missing_MesGATA2_CoelEpi_MesLHX9_preGran_PV_Neuro_Germ_Epi_Immune,ovary_preGran_CoelEpi_Missing_MesLHX9_Supp_MesGATA2_Endo_Neuro_Immune_Epi,ovary_preGran_MesGATA2_Supp_MesLHX9_CoelEpi_Missing_Endo_Epi_PV_Neuro,ovary_preGran_Supp_Endo_MesGATA2_MesLHX9_CoelEpi_Missing_PV_Neuro_Germ_Epi	GRM4
Ensembl Genes	19576	STK26	3	2.194384e-12	4.120395e-8	1.373465e-8	1.049483e+1	1.619845e+0	17	1.980978e-4	2.079002e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_Endo_MesLHX9_CoelEpi_preGran_Supp_Missing_MesGATA2_Epi_PV_Neuro_Immune_SMC,ovary_MesGATA2_MesLHX9_CoelEpi_Missing_Supp_preGran_PV_Endo_Neuro_Immune_Epi_SMC,ovary_MesGATA2_MesLHX9_CoelEpi_preGran_Supp_Endo_PV_Missing_Epi_Neuro_Immune,ovary_MesGATA2_MesLHX9_Endo_CoelEpi_Supp_preGran_Missing_PV_Epi_Immune_Neuro_SMC,ovary_MesGATA2_MesLHX9_Supp_CoelEpi_preGran_Endo_Missing_PV_Neuro_Epi_Immune,ovary_MesGATA2_Supp_MesLHX9_Missing_preGran_CoelEpi_Endo_PV_Neuro_Immune_Epi_SMC,ovary_MesLHX9_CoelEpi_Missing_preGran_MesGATA2_Endo_Epi_Supp_Neuro_PV_Immune,ovary_MesLHX9_MesGATA2_CoelEpi_PV_Endo_Supp_preGran_Missing_Neuro_Epi_Immune,ovary_MesLHX9_MesGATA2_Missing_PV_preGran_Supp_CoelEpi_Endo_Epi_Neuro_Immune_Germ,ovary_MesLHX9_MesGATA2_PV_Supp_preGran_Missing_CoelEpi_Endo_Neuro_Immune_Epi_SMC,ovary_MesLHX9_MesGATA2_preGran_Supp_CoelEpi_Endo_PV_Missing_Neuro_Germ_Epi_Immune_SMC,ovary_MesLHX9_Missing_CoelEpi_Supp_MesGATA2_preGran_PV_Endo_Neuro_Epi_Immune_Germ,ovary_MesLHX9_Missing_MesGATA2_CoelEpi_Supp_preGran_PV_Endo_Epi_Neuro_SMC,ovary_MesLHX9_preGran_Missing_Supp_MesGATA2_CoelEpi_Endo_PV_Neuro_Epi_SMC_Immune,ovary_PV_MesLHX9_Supp_MesGATA2_Missing_CoelEpi_preGran_Endo_Neuro_Immune_Epi_SMC_Germ,ovary_Supp_Missing_MesLHX9_MesGATA2_CoelEpi_Endo_preGran_Neuro_PV_Epi_Immune,ovary_preGran_MesLHX9_Supp_Endo_Missing_MesGATA2_PV_CoelEpi_Neuro_Epi_Immune_SMC	STK26
Ensembl Genes	19575	OR13H1	4	6.185989e-11	1.161543e-6	2.903858e-7	8.437605e+0	2.014790e+0	17	2.463972e-4	2.079002e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_Endo_MesLHX9_CoelEpi_preGran_Supp_Missing_MesGATA2_Epi_PV_Neuro_Immune_SMC,ovary_MesGATA2_MesLHX9_CoelEpi_Missing_Supp_preGran_PV_Endo_Neuro_Immune_Epi_SMC,ovary_MesGATA2_MesLHX9_CoelEpi_preGran_Supp_Endo_PV_Missing_Epi_Neuro_Immune,ovary_MesGATA2_MesLHX9_Endo_CoelEpi_Supp_preGran_Missing_PV_Epi_Immune_Neuro_SMC,ovary_MesGATA2_MesLHX9_Supp_CoelEpi_preGran_Endo_Missing_PV_Neuro_Epi_Immune,ovary_MesGATA2_Supp_MesLHX9_Missing_preGran_CoelEpi_Endo_PV_Neuro_Immune_Epi_SMC,ovary_MesLHX9_CoelEpi_Missing_preGran_MesGATA2_Endo_Epi_Supp_Neuro_PV_Immune,ovary_MesLHX9_MesGATA2_CoelEpi_PV_Endo_Supp_preGran_Missing_Neuro_Epi_Immune,ovary_MesLHX9_MesGATA2_Missing_PV_preGran_Supp_CoelEpi_Endo_Epi_Neuro_Immune_Germ,ovary_MesLHX9_MesGATA2_PV_Supp_preGran_Missing_CoelEpi_Endo_Neuro_Immune_Epi_SMC,ovary_MesLHX9_MesGATA2_preGran_Supp_CoelEpi_Endo_PV_Missing_Neuro_Germ_Epi_Immune_SMC,ovary_MesLHX9_Missing_CoelEpi_Supp_MesGATA2_preGran_PV_Endo_Neuro_Epi_Immune_Germ,ovary_MesLHX9_Missing_MesGATA2_CoelEpi_Supp_preGran_PV_Endo_Epi_Neuro_SMC,ovary_MesLHX9_preGran_Missing_Supp_MesGATA2_CoelEpi_Endo_PV_Neuro_Epi_SMC_Immune,ovary_PV_MesLHX9_Supp_MesGATA2_Missing_CoelEpi_preGran_Endo_Neuro_Immune_Epi_SMC_Germ,ovary_Supp_Missing_MesLHX9_MesGATA2_CoelEpi_Endo_preGran_Neuro_PV_Epi_Immune,ovary_preGran_MesLHX9_Supp_Endo_Missing_MesGATA2_PV_CoelEpi_Neuro_Epi_Immune_SMC	OR13H1
Ensembl Genes	4074	PRMT8	5	1.903489e-10	3.574181e-6	7.148363e-7	8.531915e+0	1.875312e+0	16	2.293398e-4	1.956708e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_MesGATA2_CoelEpi_preGran_Supp_MesLHX9_PV_Endo_Missing_Neuro_Epi_SMC,ovary_MesLHX9_CoelEpi_Endo_Missing_MesGATA2_Supp_PV_preGran_Neuro_Epi_SMC,ovary_MesLHX9_CoelEpi_Supp_preGran_MesGATA2_PV_Endo_Missing_Neuro_Epi_Immune,ovary_MesLHX9_Supp_MesGATA2_CoelEpi_Endo_preGran_PV_Missing_Neuro_Immune_Epi,ovary_MesLHX9_Supp_MesGATA2_CoelEpi_Missing_preGran_Neuro_Epi_SMC_PV,ovary_MesLHX9_preGran_CoelEpi_MesGATA2_Missing_Supp_Endo_PV_Neuro_Epi,ovary_MesLHX9_preGran_MesGATA2_Supp_CoelEpi_Endo_Missing_Neuro_Epi_Immune,ovary_Missing_Endo_preGran_Supp_MesGATA2_CoelEpi_MesLHX9_Epi_Neuro_PV_Germ_SMC,ovary_Missing_MesLHX9_preGran_Endo_Supp_MesGATA2_CoelEpi_Immune_PV_Neuro_Epi,ovary_PV_preGran_CoelEpi_MesLHX9_Missing_MesGATA2_Supp_Neuro,ovary_Supp_Endo_Missing_preGran_MesGATA2_MesLHX9_CoelEpi_Epi_Neuro_PV,ovary_Supp_MesLHX9_MesGATA2_preGran_Missing_CoelEpi_Endo_Neuro_PV_Epi,ovary_Supp_Missing_preGran_MesLHX9_Endo_MesGATA2_Epi_CoelEpi_PV_Neuro_Germ,ovary_preGran_MesLHX9_MesGATA2_CoelEpi_Supp_Missing_PV_Neuro,ovary_preGran_Missing_MesGATA2_CoelEpi_MesLHX9_Supp_Neuro_Endo_PV_Epi_SMC,ovary_preGran_Supp_CoelEpi_MesLHX9_MesGATA2_Missing_Neuro_Epi_Immune	PRMT8
Ensembl Genes	18058	PTP4A3	6	2.635109e-10	4.947944e-6	8.246574e-7	6.627315e+0	2.866923e+0	19	3.506081e-4	2.323591e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_CoelEpi_MesGATA2_Supp_preGran_MesLHX9_PV_Endo_Missing_Neuro_Epi_Immune,ovary_CoelEpi_MesLHX9_preGran_Missing_MesGATA2_Endo_Supp_Epi_Neuro_Immune_Germ,ovary_CoelEpi_Supp_preGran_MesLHX9_MesGATA2_Endo_Missing_Neuro_PV_Epi_SMC,ovary_Endo_Supp_preGran_MesLHX9_PV_CoelEpi_Missing_MesGATA2_Neuro_Immune_Germ_Epi,ovary_MesGATA2_MesLHX9_CoelEpi_Endo_Supp_preGran_Missing_PV_Neuro_Epi_Immune_SMC,ovary_MesGATA2_MesLHX9_Endo_preGran_PV_CoelEpi_Supp_Missing_Neuro_Epi_SMC,ovary_MesGATA2_Supp_MesLHX9_preGran_Missing_CoelEpi_Endo_Neuro_Epi_PV_Immune_SMC,ovary_MesGATA2_Supp_preGran_CoelEpi_PV_MesLHX9_Endo_Missing_Neuro,ovary_MesLHX9_MesGATA2_Supp_Missing_CoelEpi_preGran_Endo_Neuro_Epi_Immune,ovary_MesLHX9_Supp_CoelEpi_MesGATA2_preGran_Missing_Endo_Neuro_SMC_Epi,ovary_MesLHX9_Supp_CoelEpi_preGran_MesGATA2_Missing_PV_Neuro_Endo,ovary_MesLHX9_Supp_MesGATA2_preGran_Endo_CoelEpi_Missing_Neuro_Epi,ovary_Supp_MesLHX9_Missing_preGran_MesGATA2_Endo_CoelEpi_Neuro_Immune_Epi_SMC,ovary_Supp_preGran_MesGATA2_MesLHX9_CoelEpi_Endo_Missing_PV_Epi_Neuro_SMC,ovary_preGran_CoelEpi_MesGATA2_Supp_MesLHX9_Missing_Endo_PV_Neuro_Epi,ovary_preGran_CoelEpi_MesLHX9_Supp_Endo_Missing_MesGATA2_Neuro_Epi,ovary_preGran_MesLHX9_Supp_CoelEpi_MesGATA2_Endo_Missing_Neuro_Immune_Epi,ovary_preGran_MesLHX9_Supp_CoelEpi_Missing_Endo_MesGATA2_PV_Neuro_Epi_Immune,ovary_preGran_Supp_CoelEpi_PV_MesGATA2_Missing_MesLHX9_Neuro_Endo	PTP4A3
Ensembl Genes	5061	GALNT9	7	3.699322e-10	6.946217e-6	9.923167e-7	1.289927e+1	9.302852e-1	12	1.137685e-4	1.467531e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_CoelEpi_MesLHX9_preGran_MesGATA2_Missing_Supp_Neuro_PV_Epi_Endo,ovary_Endo_MesLHX9_Missing_Supp_MesGATA2_preGran_CoelEpi_Neuro_PV_Epi_Germ,ovary_MesGATA2_CoelEpi_Supp_preGran_MesLHX9_Missing_Neuro_Epi_PV_Endo_Immune_Germ,ovary_MesLHX9_PV_MesGATA2_Supp_preGran_Missing_CoelEpi_Neuro_Endo_Epi,ovary_MesLHX9_Supp_MesGATA2_preGran_CoelEpi_Missing_Endo_Neuro_PV_Epi,ovary_MesLHX9_preGran_MesGATA2_Epi_Missing_Endo_Supp_PV_CoelEpi_Neuro,ovary_Missing_PV_MesGATA2_MesLHX9_CoelEpi_preGran_Endo_Supp_Neuro_Epi_Immune_SMC,ovary_PV_MesLHX9_preGran_MesGATA2_CoelEpi_Supp_Endo_Missing_Neuro_Epi,ovary_PV_Supp_preGran_MesLHX9_CoelEpi_MesGATA2_Endo_Missing_Neuro_Epi,ovary_PV_preGran_Endo_Missing_MesGATA2_MesLHX9_CoelEpi_Epi_Supp_Neuro_Immune,ovary_preGran_MesGATA2_CoelEpi_PV_MesLHX9_Endo_Supp_Immune_Neuro_SMC_Missing_Epi,ovary_preGran_MesLHX9_CoelEpi_MesGATA2_Supp_Missing_Endo_PV_Epi_Neuro	GALNT9
Ensembl Genes	18060	TSNARE1	8	1.567629e-9	2.943537e-5	3.679421e-6	6.327230e+0	2.844847e+0	18	3.479084e-4	2.201296e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_CoelEpi_MesGATA2_Supp_preGran_MesLHX9_PV_Endo_Missing_Neuro_Epi_Immune,ovary_CoelEpi_MesLHX9_preGran_Missing_MesGATA2_Endo_Supp_Epi_Neuro_Immune_Germ,ovary_CoelEpi_Supp_preGran_MesLHX9_MesGATA2_Endo_Missing_Neuro_PV_Epi_SMC,ovary_Endo_Supp_preGran_MesLHX9_PV_CoelEpi_Missing_MesGATA2_Neuro_Immune_Germ_Epi,ovary_MesGATA2_MesLHX9_CoelEpi_Endo_Supp_preGran_Missing_PV_Neuro_Epi_Immune_SMC,ovary_MesGATA2_MesLHX9_Endo_preGran_PV_CoelEpi_Supp_Missing_Neuro_Epi_SMC,ovary_MesGATA2_Supp_MesLHX9_preGran_Missing_CoelEpi_Endo_Neuro_Epi_PV_Immune_SMC,ovary_MesGATA2_Supp_preGran_CoelEpi_PV_MesLHX9_Endo_Missing_Neuro,ovary_MesLHX9_MesGATA2_Supp_Missing_CoelEpi_preGran_Endo_Neuro_Epi_Immune,ovary_MesLHX9_Supp_CoelEpi_MesGATA2_preGran_Missing_Endo_Neuro_SMC_Epi,ovary_MesLHX9_Supp_CoelEpi_preGran_MesGATA2_Missing_PV_Neuro_Endo,ovary_MesLHX9_Supp_MesGATA2_preGran_Endo_CoelEpi_Missing_Neuro_Epi,ovary_Supp_preGran_MesGATA2_MesLHX9_CoelEpi_Endo_Missing_PV_Epi_Neuro_SMC,ovary_preGran_CoelEpi_MesGATA2_Supp_MesLHX9_Missing_Endo_PV_Neuro_Epi,ovary_preGran_CoelEpi_MesLHX9_Supp_Endo_Missing_MesGATA2_Neuro_Epi,ovary_preGran_MesLHX9_Supp_CoelEpi_MesGATA2_Endo_Missing_Neuro_Immune_Epi,ovary_preGran_MesLHX9_Supp_CoelEpi_Missing_Endo_MesGATA2_PV_Neuro_Epi_Immune,ovary_preGran_Supp_CoelEpi_PV_MesGATA2_Missing_MesLHX9_Neuro_Endo	TSNARE1
Ensembl Genes	100	CAMTA1	9	2.711452e-9	5.091293e-5	5.656993e-6	6.104433e+0	2.948677e+0	18	3.606062e-4	2.201296e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_CoelEpi_Missing_preGran_MesLHX9_MesGATA2_Supp_Endo_Immune_PV_Neuro_Epi_Germ_SMC,ovary_MesGATA2_CoelEpi_Missing_MesLHX9_Supp_PV_preGran_Neuro_Epi,ovary_MesLHX9_Missing_preGran_CoelEpi_Endo_Supp_MesGATA2_Neuro_PV_Epi,ovary_MesLHX9_Supp_CoelEpi_preGran_MesGATA2_Endo_PV_Missing_Epi_Neuro_Immune,ovary_MesLHX9_Supp_MesGATA2_PV_preGran_Missing_CoelEpi_Endo_Neuro,ovary_MesLHX9_preGran_Endo_CoelEpi_Supp_MesGATA2_Missing_Neuro_PV_Epi,ovary_MesLHX9_preGran_MesGATA2_CoelEpi_Supp_Endo_PV_Neuro_Missing_Epi_Immune_Germ,ovary_MesLHX9_preGran_Supp_CoelEpi_MesGATA2_Missing_Endo_PV_Epi_Neuro_Immune_SMC,ovary_Missing_MesLHX9_CoelEpi_preGran_MesGATA2_Endo_PV_Supp_Neuro_Epi,ovary_Missing_MesLHX9_preGran_MesGATA2_Endo_CoelEpi_Neuro_PV_Immune_Epi_Supp_Germ,ovary_Missing_PV_CoelEpi_MesLHX9_Supp_preGran_MesGATA2_Endo_Neuro_Epi_SMC,ovary_Supp_CoelEpi_preGran_MesLHX9_MesGATA2_Missing_Endo_Neuro_Epi,ovary_Supp_MesLHX9_MesGATA2_PV_CoelEpi_preGran_Missing_Neuro_Endo_Immune_Epi,ovary_Supp_MesLHX9_preGran_MesGATA2_Missing_CoelEpi_Endo_PV_Neuro_Epi,ovary_Supp_MesLHX9_preGran_PV_MesGATA2_Missing_Epi_CoelEpi_Neuro_SMC_Endo,ovary_Supp_PV_MesGATA2_MesLHX9_preGran_CoelEpi_Missing_Neuro_Immune_Epi_Endo,ovary_preGran_CoelEpi_MesLHX9_Supp_Missing_Endo_MesGATA2_Neuro_PV_Immune_Epi,ovary_preGran_Missing_MesLHX9_Supp_MesGATA2_Endo_Epi_Neuro_PV_CoelEpi	CAMTA1
Ensembl Genes	7406	IRF8	10	2.769384e-9	5.200072e-5	5.200072e-6	7.687617e+0	1.951190e+0	15	2.386193e-4	1.834414e-3	1	3.764712e-1	1.000000e+0	1.000000e+0	2.656246e+0	3.764712e-1	1	1	1.414627e-4	1.000000e+0	ovary_MesGATA2_MesLHX9_Supp_PV_CoelEpi_Missing_preGran_Endo_Neuro_Epi,ovary_MesGATA2_MesLHX9_Supp_preGran_Endo_CoelEpi_Missing_Neuro_PV_Immune_Epi,ovary_MesGATA2_MesLHX9_preGran_Supp_Missing_CoelEpi_Endo_PV_Immune_Neuro,ovary_MesGATA2_Supp_MesLHX9_CoelEpi_preGran_PV_Missing_Endo_Neuro_Immune_SMC_Epi,ovary_MesLHX9_CoelEpi_Supp_preGran_MesGATA2_Missing_Germ_PV_Neuro_Epi,ovary_MesLHX9_CoelEpi_Supp_preGran_Missing_PV_MesGATA2_Endo_Neuro_Immune_Epi,ovary_MesLHX9_MesGATA2_PV_preGran_Epi_Missing_Neuro_Supp_CoelEpi_SMC,ovary_MesLHX9_MesGATA2_preGran_Supp_CoelEpi_Missing_Endo_Immune_Neuro_PV_Epi,ovary_MesLHX9_Supp_MesGATA2_Missing_preGran_CoelEpi_Endo_PV_Neuro_Immune_Epi,ovary_MesLHX9_Supp_preGran_MesGATA2_Missing_PV_Neuro_CoelEpi_Endo_Epi_Immune_SMC,ovary_MesLHX9_preGran_Supp_MesGATA2_CoelEpi_Missing_Endo_PV_Neuro_Epi_Immune,ovary_Missing_preGran_Supp_CoelEpi_MesLHX9_PV_MesGATA2_Endo_Germ_Neuro_Immune_Epi,ovary_Supp_preGran_MesLHX9_Endo_MesGATA2_Missing_CoelEpi_Neuro_PV_Epi,ovary_preGran_MesLHX9_Supp_MesGATA2_CoelEpi_Neuro_Epi_PV_Immune_Missing,ovary_preGran_Supp_MesLHX9_CoelEpi_MesGATA2_Endo_Neuro_Immune_PV_Epi_Missing	IRF8
