# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	18826	COL5A1	1	4.926921e-10	9.251280e-6	9.251280e-6	1.476158e+1	7.451777e-1	11	1.866210e-4	2.754821e-3	1	2.557917e-1	1.000000e+0	1.000000e+0	3.909432e+0	2.557917e-1	1	1	2.082032e-4	1.000000e+0	testes_MesGATA2_MesLHX9_Sertoli_Immune_Germ_PV_Neuro_Missing_Supp_Epi_FLeydig_Endo,testes_MesLHX9_MesGATA2_Immune_Sertoli_Germ_Endo_PV_Epi_Neuro_Supp_Missing_FLeydig,testes_MesLHX9_Sertoli_MesGATA2_CoelEpi_Immune_PV_Neuro_Missing_FLeydig_Eryth_Endo_Supp_Epi,testes_MesLHX9_Sertoli_MesGATA2_Immune_Germ_Supp_Neuro_Missing_Eryth_FLeydig_Endo_PV_CoelEpi,testes_Sertoli_Germ_MesLHX9_Neuro_CoelEpi_MesGATA2_Missing_Immune_PV_Endo_Epi_Supp_FLeydig,testes_Sertoli_MesGATA2_Endo_MesLHX9_Immune_Epi_Neuro_Germ_CoelEpi_Supp_PV_Missing_FLeydig_Eryth,testes_Sertoli_MesGATA2_MesLHX9_Immune_CoelEpi_Germ_PV_Endo_Missing_Supp_Neuro_Epi_FLeydig_Eryth,testes_Sertoli_MesLHX9_Endo_Immune_MesGATA2_Germ_Epi_Neuro_PV_CoelEpi_Supp_Missing_FLeydig_Eryth,testes_Sertoli_MesLHX9_Endo_Immune_MesGATA2_PV_Epi_Neuro_CoelEpi_Germ_Supp_Missing_FLeydig_Eryth,testes_Sertoli_MesLHX9_Immune_Germ_MesGATA2_FLeydig_Missing_Neuro_Endo_Epi_Supp_PV,testes_Sertoli_MesLHX9_MesGATA2_Immune_Germ_PV_Endo_Epi_CoelEpi_Neuro_Supp_Missing_Eryth_FLeydig	COL5A1
Ensembl Genes	18825	RXRA	2	2.940873e-9	5.522077e-5	2.761039e-5	1.479574e+1	6.758702e-1	10	1.692637e-4	2.504383e-3	1	2.557917e-1	1.000000e+0	1.000000e+0	3.909432e+0	2.557917e-1	1	1	2.082032e-4	1.000000e+0	testes_MesGATA2_MesLHX9_Sertoli_Immune_Germ_PV_Neuro_Missing_Supp_Epi_FLeydig_Endo,testes_MesLHX9_MesGATA2_Immune_Sertoli_Germ_Endo_PV_Epi_Neuro_Supp_Missing_FLeydig,testes_MesLHX9_Sertoli_MesGATA2_Immune_Germ_Supp_Neuro_Missing_Eryth_FLeydig_Endo_PV_CoelEpi,testes_Sertoli_Germ_MesLHX9_Neuro_CoelEpi_MesGATA2_Missing_Immune_PV_Endo_Epi_Supp_FLeydig,testes_Sertoli_MesGATA2_Endo_MesLHX9_Immune_Epi_Neuro_Germ_CoelEpi_Supp_PV_Missing_FLeydig_Eryth,testes_Sertoli_MesGATA2_MesLHX9_Immune_CoelEpi_Germ_PV_Endo_Missing_Supp_Neuro_Epi_FLeydig_Eryth,testes_Sertoli_MesLHX9_Endo_Immune_MesGATA2_Germ_Epi_Neuro_PV_CoelEpi_Supp_Missing_FLeydig_Eryth,testes_Sertoli_MesLHX9_Endo_Immune_MesGATA2_PV_Epi_Neuro_CoelEpi_Germ_Supp_Missing_FLeydig_Eryth,testes_Sertoli_MesLHX9_Immune_Germ_MesGATA2_FLeydig_Missing_Neuro_Endo_Epi_Supp_PV,testes_Sertoli_MesLHX9_MesGATA2_Immune_Germ_PV_Endo_Epi_CoelEpi_Neuro_Supp_Missing_Eryth_FLeydig	RXRA
Ensembl Genes	12747	SHISA8	3	4.668071e-9	8.765237e-5	2.921746e-5	4.813048e+1	1.246611e-1	6	3.121992e-5	1.502630e-3	1	2.557917e-1	1.000000e+0	1.000000e+0	3.909432e+0	2.557917e-1	1	1	2.082032e-4	1.000000e+0	testes_Sertoli_CoelEpi_MesGATA2_MesLHX9_Endo_Immune_Germ_PV_Epi_Supp_Missing_Neuro_Eryth_FLeydig,testes_Sertoli_MesGATA2_MesLHX9_Epi_Germ_CoelEpi_Immune_PV_Endo_Missing_FLeydig_Neuro_Supp,testes_Sertoli_MesLHX9_Germ_Immune_Endo_CoelEpi_MesGATA2_Epi_PV_Missing_Neuro_FLeydig_Supp_Eryth,testes_Sertoli_MesLHX9_Immune_MesGATA2_Germ_Endo_PV_Neuro_Missing_Epi_Supp_FLeydig_CoelEpi,testes_Sertoli_MesLHX9_MesGATA2_Germ_Immune_Epi_Endo_CoelEpi_PV_Missing_FLeydig_Neuro_Supp_Eryth,testes_Sertoli_MesLHX9_MesGATA2_Germ_Immune_Epi_PV_Endo_Neuro_Missing_Supp_FLeydig	SHISA8
Ensembl Genes	8560	TIMP2	4	6.380964e-8	1.198154e-3	2.995384e-4	5.187753e+1	9.638084e-2	5	2.413745e-5	1.252191e-3	1	2.557917e-1	1.000000e+0	1.000000e+0	3.909432e+0	2.557917e-1	1	1	2.082032e-4	1.000000e+0	testes_Epi_MesGATA2_Sertoli_MesLHX9_Immune_PV_Germ_CoelEpi_Supp_FLeydig_Missing_Eryth_Neuro_Endo,testes_Immune_Sertoli_MesLHX9_MesGATA2_Epi_Endo_Germ_CoelEpi_PV_Neuro_Missing_FLeydig_Supp_Eryth,testes_MesLHX9_Sertoli_Germ_Epi_Immune_MesGATA2_Endo_Missing_PV_Supp_Neuro_FLeydig_CoelEpi,testes_Sertoli_Immune_Endo_MesLHX9_Germ_MesGATA2_PV_Epi_Missing_Neuro_Supp_FLeydig_CoelEpi,testes_Sertoli_MesLHX9_MesGATA2_Epi_PV_Germ_Immune_Neuro_CoelEpi_Endo_Supp_Missing_FLeydig_Eryth	TIMP2
Ensembl Genes	16947	YWHAG	5	4.402723e-7	8.266993e-3	1.653399e-3	3.498300e+1	1.429266e-1	5	3.579428e-5	1.252191e-3	1	2.557917e-1	1.000000e+0	1.000000e+0	3.909432e+0	2.557917e-1	1	1	2.082032e-4	1.000000e+0	testes_Endo_Sertoli_MesLHX9_Germ_Immune_Epi_MesGATA2_PV_Neuro_Missing_Supp_Eryth_FLeydig_CoelEpi,testes_Sertoli_Immune_MesLHX9_Neuro_Germ_Epi_PV_MesGATA2_Missing_Endo_Supp_FLeydig_Eryth_CoelEpi,testes_Sertoli_MesGATA2_Immune_Neuro_MesLHX9_Epi_Germ_Endo_PV_CoelEpi_Missing_FLeydig_Supp,testes_Sertoli_MesLHX9_Immune_PV_MesGATA2_Germ_Missing_Neuro_FLeydig_Supp_Epi_CoelEpi_Endo,testes_Sertoli_MesLHX9_MesGATA2_Germ_Endo_Epi_Neuro_Immune_Supp_Missing_FLeydig_PV_CoelEpi	YWHAG
Ensembl Genes	16294	ARMC2	6	9.230512e-7	1.733213e-2	2.888689e-3	1.114101e+1	7.180677e-1	8	1.798316e-4	2.003506e-3	1	2.557917e-1	1.000000e+0	1.000000e+0	3.909432e+0	2.557917e-1	1	1	2.082032e-4	1.000000e+0	testes_MesGATA2_MesLHX9_Germ_Immune_CoelEpi_Sertoli_PV_Epi_Endo_Neuro_Supp_Missing_FLeydig,testes_MesLHX9_Sertoli_Neuro_Immune_Endo_MesGATA2_CoelEpi_Germ_PV_Missing_Supp_Epi_FLeydig,testes_Sertoli_Immune_MesLHX9_PV_Germ_Epi_MesGATA2_Supp_Eryth_Neuro_Missing_FLeydig,testes_Sertoli_MesGATA2_MesLHX9_Immune_CoelEpi_Endo_Germ_PV_Neuro_Supp_Epi_Missing_FLeydig_Eryth,testes_Sertoli_MesGATA2_MesLHX9_Immune_Neuro_CoelEpi_Epi_Germ_Endo_PV_Missing_Supp_FLeydig,testes_Sertoli_MesLHX9_Immune_Neuro_MesGATA2_Endo_Germ_PV_Supp_Missing_FLeydig_Epi_Eryth,testes_Sertoli_MesLHX9_MesGATA2_Endo_CoelEpi_PV_Germ_Neuro_Missing_Epi_Supp_Immune_FLeydig,testes_Sertoli_MesLHX9_MesGATA2_Germ_PV_Neuro_Missing_Supp_Endo_Immune_Epi_FLeydig	ARMC2
Ensembl Genes	16733	HOXA11	7	1.359906e-6	2.553495e-2	3.647851e-3	1.482283e+2	2.023905e-2	3	5.068633e-6	7.513148e-4	1	2.557917e-1	1.000000e+0	1.000000e+0	3.909432e+0	2.557917e-1	1	1	2.082032e-4	1.000000e+0	testes_CoelEpi_Endo_MesLHX9_Sertoli_MesGATA2_Immune_Germ_PV_Supp_Epi_Neuro_FLeydig_Missing_Eryth,testes_Sertoli_CoelEpi_MesGATA2_MesLHX9_Immune_Germ_Epi_Endo_Supp_PV_Missing_Neuro_FLeydig_Eryth,testes_Sertoli_MesGATA2_MesLHX9_Epi_Germ_Immune_Neuro_PV_Endo_CoelEpi_Supp_Missing_FLeydig_Eryth	HOXA11
Ensembl Genes	18020	MTSS1	8	2.532770e-6	4.755782e-2	5.944728e-3	1.214000e+1	5.766064e-1	7	1.444043e-4	1.753068e-3	1	2.557917e-1	1.000000e+0	1.000000e+0	3.909432e+0	2.557917e-1	1	1	2.082032e-4	1.000000e+0	testes_Endo_MesGATA2_MesLHX9_PV_Sertoli_Epi_Immune_Neuro_CoelEpi_Supp_Missing_FLeydig,testes_MesGATA2_MesLHX9_Immune_Sertoli_Germ_PV_CoelEpi_Neuro_Epi_Endo_Missing_Supp_FLeydig_Eryth,testes_Sertoli_Immune_Endo_MesLHX9_MesGATA2_Germ_Missing_FLeydig_Neuro_Eryth_Supp_Epi,testes_Sertoli_Immune_Neuro_MesGATA2_MesLHX9_Germ_CoelEpi_Epi_Endo_FLeydig_Missing_Supp_Eryth_PV,testes_Sertoli_MesLHX9_Endo_MesGATA2_Immune_Neuro_PV_Epi_Germ_Missing_FLeydig_CoelEpi_Supp,testes_Sertoli_MesLHX9_MesGATA2_Immune_Germ_PV_Endo_Neuro_Supp_Missing_FLeydig_Epi_CoelEpi,testes_Sertoli_MesLHX9_MesGATA2_PV_Immune_Endo_Germ_Missing_Neuro_Supp_Eryth_FLeydig	MTSS1
Ensembl Genes	15427	LCP2	9	3.150702e-6	5.916073e-2	6.573415e-3	1.566549e+1	3.830074e-1	6	9.591971e-5	1.502630e-3	1	2.557917e-1	1.000000e+0	1.000000e+0	3.909432e+0	2.557917e-1	1	1	2.082032e-4	1.000000e+0	testes_CoelEpi_MesLHX9_Immune_MesGATA2_Germ_Epi_Sertoli_PV_Neuro_Endo_Missing_FLeydig_Supp_Eryth,testes_MesGATA2_MesLHX9_Immune_Germ_PV_Sertoli_Neuro_CoelEpi_Missing_Supp_FLeydig_Endo_Eryth,testes_MesLHX9_MesGATA2_Sertoli_Immune_Germ_Supp_Neuro_Missing_Endo_FLeydig_CoelEpi_Eryth_Epi,testes_MesLHX9_MesGATA2_Sertoli_Supp_CoelEpi_Missing_Epi_Neuro_Immune_Endo_FLeydig,testes_MesLHX9_Sertoli_MesGATA2_Germ_Immune_PV_Epi_CoelEpi_Supp_Neuro_Missing_FLeydig_Endo,testes_Sertoli_MesLHX9_MesGATA2_Immune_Supp_Germ_PV_Missing_Neuro_FLeydig_Endo_Epi	LCP2
Ensembl Genes	13311	PRICKLE2	10	4.605657e-6	8.648042e-2	8.648042e-3	8.937587e+0	8.950962e-1	8	2.241663e-4	2.003506e-3	1	2.557917e-1	1.000000e+0	1.000000e+0	3.909432e+0	2.557917e-1	1	1	2.082032e-4	1.000000e+0	testes_MesGATA2_MesLHX9_Immune_Supp_Sertoli_Epi_PV_FLeydig_Endo_Missing_Neuro_CoelEpi,testes_MesGATA2_MesLHX9_Sertoli_Immune_Neuro_Missing_Supp_Endo_FLeydig_Epi_CoelEpi,testes_MesGATA2_Sertoli_MesLHX9_Immune_PV_Endo_Epi_Supp_Neuro_Missing_CoelEpi_Eryth_FLeydig,testes_MesLHX9_Epi_MesGATA2_Sertoli_Immune_PV_Germ_Neuro_Supp_Missing_FLeydig_Endo,testes_MesLHX9_MesGATA2_Neuro_Immune_Sertoli_Germ_Supp_FLeydig_Missing_Epi_Endo_PV,testes_MesLHX9_MesGATA2_Sertoli_Immune_Endo_Supp_Germ_PV_CoelEpi_Neuro_Missing_FLeydig,testes_Sertoli_MesGATA2_MesLHX9_Epi_CoelEpi_Germ_PV_Missing_Neuro_Supp_Endo_Eryth_FLeydig_Immune,testes_Sertoli_MesLHX9_Germ_Epi_Immune_MesGATA2_Endo_Supp_PV_Neuro_FLeydig_CoelEpi_Missing	PRICKLE2
